Parameter ID,Description
1,"1fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
2,"2fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
3,"fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
4,"3fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
5,"4fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
6,"5fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
7,"fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
8,"fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
9,"fjefuierhureh jorfjruoj fhruofhrufheur
bivfnvreilavn nmejnc nudneu neudneun
mmjnjvn urnfru urnfrfn"
10,"Biochemical Oxygen Demand (BOD):
BOD is a measure of the amount of dissolved oxygen required by aerobic microorganisms to decompose organic material in water over a specific period, typically 5 days (BOD5). It is used as an indicator of organic pollution in water. A high BOD level suggests the presence of excess organic material, which can lead to oxygen depletion and harm aquatic life."
11,"Escherichia coli (E. coli):
E. coli is a type of bacteria commonly found in the intestines of humans and animals. It is used as an indicator of fecal contamination in water bodies. The presence of E. coli suggests that the water may be contaminated with pathogens that can cause gastrointestinal diseases."
12,"Enterococcus:
Enterococcus is a genus of bacteria that is also found in the intestines of humans and other animals. It is often used as a more specific indicator of fecal contamination in water compared to E. coli. Enterococcus is especially useful for monitoring recreational waters since it tends to be more resilient in aquatic environments."
,
